공연시간,금액명시비율,예약율,knn_n_neighbors,knn_mse,kmeans_군집수,kmeans_실루엣,평균가격,최소가격,최대가격,등급별가격비율,등급별가격,등급별좌석수,등급별예매율,등급별가격_1,등급별가격_2,등급별가격_3,등급별가격_4,등급별가격_5
2021-08-27 19:30:00,0.056,0.412,8,202682257.78959972,4,0.7255670824216075,62750.5,0,120000,"[0.0, 1.0, 1.93, 3.27]","[0, 33830, 65162, 110643]","[430, 393, 928, 754]","[0.1372, 0.2341, 0.4343, 0.634]",0.0,1.0,1.93,3.27,
2021-09-19 17:00:00,0.391,0.501,4,91386370.39531839,5,0.9850163909327878,73415.17,0,110000,"[0.0, 1.0, 1.5, 2.0, 2.74]","[0, 40045, 60000, 80113, 109777]","[166, 442, 580, 444, 873]","[0.1205, 0.5385, 0.45, 0.4685, 0.6037]",0.0,1.0,1.5,2.0,2.74
2021-09-21 19:30:00,0.257,0.423,2,137746870.96196157,5,0.936832290866964,74157.68,0,110000,"[1.0, 8.42, 13.24, 17.82, 24.32]","[4519, 38067, 59849, 80513, 109898]","[156, 419, 596, 448, 886]","[0.2308, 0.3413, 0.2953, 0.3371, 0.6242]",1.0,8.42,13.24,17.82,24.32
2021-09-22 19:30:00,0.278,0.444,2,139824660.16079393,5,0.9547783677572913,73518.96,0,110000,"[1.0, 22.57, 34.73, 46.75, 63.73]","[1725, 38940, 59928, 80653, 109954]","[142, 571, 415, 498, 879]","[0.2606, 0.3327, 0.3928, 0.3454, 0.6257]",1.0,22.57,34.73,46.75,63.73
2021-10-01 19:30:00,0.167,0.485,10,138239405.13812762,4,0.7908348801558782,95145.71,0,150000,"[0.0, 1.0, 1.55, 1.93]","[0, 76385, 118682, 147525]","[461, 650, 588, 806]","[0.2386, 0.2877, 0.6463, 0.6687]",0.0,1.0,1.55,1.93,
2021-10-13 19:30:00,0.088,0.099,5,175290204.8547718,4,0.7263992858639723,78189.62,0,120000,"[0.0, 1.0, 1.8, 2.37]","[0, 49190, 88715, 116790]","[182, 846, 650, 827]","[0.1099, 0.1206, 0.0508, 0.1125]",0.0,1.0,1.8,2.37,
2021-10-24 17:00:00,0.191,0.301,6,650954576.5745246,5,0.8357027954332525,63471.06,0,120000,"[0.0, 1.0, 1.87, 2.77, 3.69]","[0, 31808, 59384, 88216, 117226]","[428, 426, 511, 639, 501]","[0.1168, 0.2676, 0.2798, 0.3239, 0.477]",0.0,1.0,1.87,2.77,3.69
2021-10-26 19:30:00,0.457,0.489,2,39373794.702536196,4,0.8919345638719153,88249.5,0,130000,"[0.0, 1.0, 1.63, 2.12]","[0, 61443, 100084, 129978]","[171, 1019, 417, 898]","[0.0468, 0.5221, 0.5779, 0.4933]",0.0,1.0,1.63,2.12,
2021-10-27 19:30:00,0.248,0.313,8,168120199.9770779,5,0.8198047479802756,82888.22,0,130000,"[0.0, 1.0, 1.59, 2.25, 2.89]","[0, 44591, 70751, 100387, 128734]","[133, 513, 739, 413, 707]","[0.3083, 0.2807, 0.2977, 0.201, 0.4187]",0.0,1.0,1.59,2.25,2.89
2021-10-28 19:30:00,0.197,0.54,4,199647226.353155,4,0.7637855464670724,99027.94,0,150000,"[0.0, 1.0, 1.78, 2.38]","[0, 62221, 110447, 148045]","[325, 439, 984, 757]","[0.3415, 0.3736, 0.625, 0.6103]",0.0,1.0,1.78,2.38,
2021-10-29 19:30:00,0.066,0.356,6,324326837.0240735,4,0.698760616244891,49726.55,0,100000,"[0.0, 1.0, 1.98, 3.33]","[0, 28801, 57009, 95837]","[250, 988, 652, 615]","[0.476, 0.2925, 0.3926, 0.3691]",0.0,1.0,1.98,3.33,
2021-11-11 19:30:00,0.075,0.335,5,174588875.15080884,4,0.7440304039930048,64668.66,0,100000,"[0.0, 1.0, 1.79, 2.3]","[0, 42549, 76069, 97682]","[289, 612, 959, 645]","[0.1246, 0.2598, 0.3597, 0.4636]",0.0,1.0,1.79,2.3,
2021-11-13 17:00:00,0.05,0.465,8,278649894.7679904,4,0.7579427201518908,76702.59,0,150000,"[0.0, 1.0, 1.71, 2.54]","[0, 56734, 97116, 143962]","[398, 946, 612, 549]","[0.1281, 0.444, 0.5899, 0.6084]",0.0,1.0,1.71,2.54,
2021-11-21 17:00:00,0.081,0.086,1,-0.0,3,1.0,8870.26,0,10000,"[0.0, 1.0, 2.0]","[0, 5000, 10000]","[247, 72, 2186]","[0.0, 0.125, 0.0947]",0.0,1.0,2.0,,
